trial_number,value,datetime_start,datetime_complete,duration,state,params
0,330.78406080347446,2024-01-08 21:39:59.228395,2024-01-08 21:40:49.018539,0:00:49.790144,1,"{'scalers': 'robust', 'n_neighbors': 4, 'weights': 'uniform', 'algorithm': 'ball_tree', 'leaf_size': 32}"
1,312.65183304592193,2024-01-08 21:40:49.054685,2024-01-08 21:41:34.810783,0:00:45.756098,1,"{'scalers': 'robust', 'n_neighbors': 17, 'weights': 'uniform', 'algorithm': 'brute', 'leaf_size': 35}"
2,333.52285248953,2024-01-08 21:41:34.834505,2024-01-08 21:42:20.988570,0:00:46.154065,1,"{'scalers': 'minmax', 'n_neighbors': 14, 'weights': 'uniform', 'algorithm': 'ball_tree', 'leaf_size': 16}"
3,311.8055096630468,2024-01-08 21:42:21.019779,2024-01-08 21:43:06.209662,0:00:45.189883,1,"{'scalers': 'standard', 'n_neighbors': 25, 'weights': 'distance', 'algorithm': 'kd_tree', 'leaf_size': 31}"
4,305.5726364623433,2024-01-08 21:43:06.235335,2024-01-08 21:43:48.899260,0:00:42.663925,1,"{'scalers': 'standard', 'n_neighbors': 11, 'weights': 'uniform', 'algorithm': 'auto', 'leaf_size': 44}"
5,305.3665661101355,2024-01-08 21:43:48.930565,2024-01-08 21:44:33.929022,0:00:44.998457,1,"{'scalers': 'standard', 'n_neighbors': 5, 'weights': 'distance', 'algorithm': 'kd_tree', 'leaf_size': 31}"
6,314.8532036433828,2024-01-08 21:44:33.960604,2024-01-08 21:45:19.012203,0:00:45.051599,1,"{'scalers': 'robust', 'n_neighbors': 18, 'weights': 'uniform', 'algorithm': 'brute', 'leaf_size': 11}"
7,306.271426244765,2024-01-08 21:45:19.028104,2024-01-08 21:46:04.761679,0:00:45.733575,1,"{'scalers': 'standard', 'n_neighbors': 14, 'weights': 'uniform', 'algorithm': 'kd_tree', 'leaf_size': 22}"
8,318.16322835878003,2024-01-08 21:46:04.798530,2024-01-08 21:46:48.104617,0:00:43.306087,1,"{'scalers': 'robust', 'n_neighbors': 6, 'weights': 'distance', 'algorithm': 'brute', 'leaf_size': 39}"
9,334.2507542952034,2024-01-08 21:46:48.138395,2024-01-08 21:47:29.871622,0:00:41.733227,1,"{'scalers': 'minmax', 'n_neighbors': 17, 'weights': 'uniform', 'algorithm': 'auto', 'leaf_size': 19}"
